,files,tp_cost,tp_fields,tp_list,tp_name,tp_name_check,tp_no_centres,tp_states,tp_trainees
0,24x7-learning.pdf,11.08 Crore,"Media & Entertainment, Education & Skill Development Services, Electronics Hardware, Tourism Hospitality Travel Trade, BFSI, Organised retail, ITES / BPOTrades Covered PR & Journalism, Advt. and Media, Event Management, IFRS, Financial Accounting, Financial Planning, Certified Mutual Fund Expert, Cyber Law, Software Testing, networking professional, Telecom Management, Graphics & Animation, Retail Management, Tourism Management, Front Office Management, Instructional Design, Technical Writing, Office Administration, Six Sigma Professional,","124X7 Learning Private LimitedProposingOrganization24X7 Learning Private LimitedImplementingAgency24X7 Learning Private LimitedNo. of Trainees in 10 years 99,000* skilled  in 10 years No. of Centres16 own centres + Infra partnersLocation(s)Pan IndiaSectors TargetedMedia & Entertainment, Education & Skill Development Services, Electronics Hardware, Tourism Hospitality Travel Trade, BFSI, Organised retail, ITES / BPOTrades Covered PR & Journalism, Advt. and Media, Event Management, IFRS, Financial Accounting, Financial Planning, Certified Mutual Fund Expert, Cyber Law, Software Testing, networking professional, Telecom Management, Graphics & Animation, Retail Management, Tourism Management, Front Office Management, Instructional Design, Technical Writing, Office Administration, Six Sigma Professional, Project Management, SCMProject Cost Rs 11.08 CroreBusiness ModelStudent fee based modelOperatingModelMix of own centers & infrastructure partners; mobilization through publicity media; mix of own & outside content; blended learning model; certification by academic partners; leverage on partner college infrastructureProposal SummaryIn addition, the proposal covers *SPP SKILLBRIDGE Pre-placement Training Program of 3 days (total students 49,800)",24X7 Learning Private Limited,24X7 Learning Private LimitedImplementingAgency24X7 Learning Private Limited,16 own  + Infra partners,Pan India,"99,000* skilled"
1,2coms-consulting.pdf,4.30Crore,"locationsCAT A (Metros),CAT B(other state capitals),CAT C(small towns), CAT D(Villages).In1styear, 2 CAT A, 1 CAT B, 1 CAT C and 1 CAT D locations Sectors Banking/Insurance,Organized retail, Unorganized sector, Educational/skill development(Trainers etc)","12COMS CONSULTING PRIVATE LIMITED Proposing& Implementing Organization2COMS Consulting Private Limited  to float a SPV No. of Trainees in 10 years1,26,603 over a period of 10 yearsNo of Centers58 centers in 10 years; Jobshops: 10 centers Jobshops+ JobAcademies: 24 centers; RozgarKendras: 24 centers Targeted locationsCAT A (Metros),CAT B(other state capitals),CAT C(small towns), CAT D(Villages).In1styear, 2 CAT A, 1 CAT B, 1 CAT C and 1 CAT D locations Sectors TargetedBanking/Insurance,Organized retail, Unorganized sector, Educational/skill development(Trainers etc)  Project CostRs 4.30CroreBusiness ModelStudent feesOperatingModelSelf owned training centersSourcing through Jobshops, local advertisement,  awareness camps, local panchayats,  In-house content development using domain partners Classroom based training Certification and assessment to be done in partnership with relevant SSCs  Placement through Job Shops. Training programs would be demand driven to ensure high percentage of placements Proposal Summary",2COMS CONSULTING PRIVATE LIMITED,& Implementing 2COMS Consulting Private Limited  to float a SPV,58  in 10 years; Jobshops: 10  Jobshops+ JobAcademies: 24 ; RozgarKendras: 24  Targeted,"CAT A (Metros),CAT B(other state capitals),CAT C(small towns), CAT D(Villages).In1styear, 2 CAT A, 1 CAT B, 1 CAT C and 1 CAT D","1,26,603"
2,AIAEF.pdf,8.45Cr,"Healthcare,Electronics and Hardware, Textiles and Retail","2AllIndia Asian Educational Foundation(AIAEF)Proposal SummaryProposingOrganizationAll India Asian Educational Foundation (AIAEF)ImplementingAgencyAll India Asian Educational Foundation (AIAEF)No. of Trainees in 10 years1,26,075No. of Centres40 CentersLocation(s)Sectors TargetedHealthcare,Electronics and Hardware, Textiles and RetailProject Cost (Total)Rs. 8.45CrSourcingModelSourcing of trainees will be  handled by a dedicated team a thecluster level and will follow the below mentioned stages:a)Profiling of a cluster through district level BPL and socio-economic data.b)Classification of potentials pool into school drop-outs,unemployed, employed in need for up-skilling, housewivesc)Awareness generation and mobilizationd)Conduct of pre-assessment test to filter inappropriatecandidatese)Conduct of counseling sessions to identify coursesf)Segregation of students into centers and courses.",AllIndia Asian Educational Foundation(AIAEF)Proposal Summary,All India Asian Educational Foundation (AIAEF)ImplementingAgencyAll India Asian Educational Foundation (AIAEF),40,,"1,26,075"
3,AKGEC-Skill-Pvt-Ltd.pdf,"9,44,00,000","Auto and Auto components Sector, Manufacturing Sector, Building and Constructions","1                AKGEC Skill Pvt. Ltd. Proposing Organization AKGEC Skill Pvt. Ltd. Implementing Agency AKGEC Skill Pvt. Ltd. No. of Trainees in 10 years  51,631   No. of Centres 1 centers Location(s) Ghaziabad, Sectors Targeted Auto and Auto components Sector, Manufacturing Sector, Building and Constructions Project Cost  Rs.9,44,00,000 Sourcing Model holders and also 8th, 10th, 12th pass or ITI candidates for its vocational coursed. Training leads are generated through their websites having online registration module (www.akgec-kuka.org;www.akgec-bosch.org;www.akgec-ni.org;www.akgec-janatics.org;www.akgec-siemens.org.) Program Information/intimation is proposed to be sent through letters & Posters to the directors of nearby colleges to share among their students. Promotional program is proposed to be conducted to create awareness among engineering students. CORE organize one day workshop and seminars. Through Social Media: All facilities under CORE are having their presence on social media for its promotion Proposal Summary ",AKGEC Skill Pvt. Ltd.,AKGEC Skill Pvt. Ltd. Implementing Agency AKGEC Skill Pvt. Ltd.,1,"Ghaziabad,","51,631"
4,ASMACS-Skill-Development-Ltd..pdf,"6,38,00,000","Automotive, Capital Goods, Building and Construction","1                                                  ASMACS Skill Development Ltd. Proposing Organization ASMACS Skill Development Ltd. Implementing Agency ASMACS Skill Development Ltd. No. of Trainees in 10 years  1,01,210 No. of Centres 16 centers Location(s) Cuttack, Madurai, Mumbai, Cochin, Goa, Gorakhpur, Surat, Jaipur, Hyderabad, Kolkata, Sonepur, Chennai,  Sectors Targeted Automotive, Capital Goods, Building and Construction Project Cost  Rs. 6,38,00,000 Sourcing Model Print / Electronic advertisements / hoardings / door-to-door canvassing;  Word of mouth advertising  Engaging the services of NGOs and schools. Qualifications range from Diploma to Graduation and Certified professionals.  Proposal Summary ",ASMACS Skill Development Ltd.,ASMACS Skill Development Ltd. Implementing Agency ASMACS Skill Development Ltd.,16,"Cuttack, Madurai, Mumbai, Cochin, Goa, Gorakhpur, Surat, Jaipur, Hyderabad, Kolkata, Sonepur, Chennai,","1,01,210"
5,AVTEG Pvt Ltd.pdf,0.77 Crore,"Manufacturing, Building & Construction, Retail, Beauty & Wellness","1AVTEG SkillsCONNECTProposingOrganizationAVTEG Private LimitedImplementingAgencyAVTEG SkillsCONNECTNo. of Trainees in 10 years 61,046  in 10 yearsNo. of Centres14 centers(Self-owned -2 & alliance partner center 12)Location(s)PAN IndiaSectors TargetedManufacturing, Building & Construction, Retail, Beauty & WellnessProject Cost Rs0.77 CroreRevenue Model20% up-skillingand 80% skilling-Average fee per student is Rs. 8000 for skilling and Rs. 5000 for up-skillingSourcing of traineesAVTEG will follow a step-wise approach for student acquisition-Research with industry for job roles mostly in demand and the skills required for the same.-Collect LOI for recruitment from respective organizations-AVTEG along with partner to source trainees through newspapers, schools/ ITI visit, panchayatand NGO meetings-Aptitude TestProposal Summary",AVTEG SkillsCONNECT,AVTEG Private LimitedImplementingAgencyAVTEG SkillsCONNECT,14 (Self-owned -2 & alliance partner center 12),PAN India,"61,046"
6,Abbey_West_Services_Private_Limited.pdf,1.89Crore,"Organised Retail,Select Informal Sector (Security Guard)","2Abbey West Services Private LimitedProposingOrganizationProposal SummaryProposingOrganizationAbbey West Services Private LimitedImplementingAgencyAbbey West Services Private LimitedNo. of Trainees in 10 years58,497No. of Centres11 CentresLocation(s):OdishaSectors TargetedOrganised Retail,Select Informal Sector (Security Guard)Project Cost (Total)Rs.1.89CroreSourcingModelDoor to door marketing, career counselling workshops and talk toparents of potential trainees along with the villagePanchayattoget details of unemployed youth in the villages are the methodsof sourcing used at present.",Abbey West Services Private Limited,Access Livelihoods Consulting India Private LimitedImplementingAgencyAccess Livelihoods Consulting India Private Limited,11,:Odisha,"58,497"
7,Academy- Maritime-Education-Training-(AMET)-Trust.pdf,41.24Cr,"Maritime Industry, and  Auto & Auto Components","1Academy of Maritime EducationandTraining(AMET) TrustProposingOrganizationProposal SummaryProposingOrganizationAcademy of Maritime Education and Training (AMET) TrustImplementingAgencyYouth Empowerment TrustNo. of Trainees in 10 years65,523No. of Centres9CentersLocation(s)Chennai,Thiruthani,Tuticorin, Vellore Madurai, Coimbatore,Cuddalore,Villupuram,NagercoilSectors TargetedMaritime Industry, and  Auto & Auto ComponentsProject Cost (Total)Rs. 41.24CrSourcingModelApplicant would target advertisements in the newspapers inlocal language and English as a key word sourcing channel.Women Development Department-GOTN, Women Self HelpGroups (SHGs) and the NGOs in the State would be involvedin identifying suitable candidates for the training program.Selection of students would bebased onAge, Educationalqualification, income group and aptitude for learning thecourse.A personal interview would be conducted by a selectioncommittee set up the AMET University for the purpose ofrecurring candidates for the training program.Applicant would also promote self-employment throughcollaboration with Banks/ Government Agencies.",Academy of Maritime EducationandTraining(AMET) Trust,Access Livelihoods Consulting India Private LimitedImplementingAgencyAccess Livelihoods Consulting India Private Limited,9,"Chennai,Thiruthani,Tuticorin, Vellore Madurai, Coimbatore,Cuddalore,Villupuram,Nagercoil","65,523"
8,Ace-Skill-Development.pdf,,,"TamilNadu,AndhraPradesh,Karnataka,Odisha,UttarPradesh,Kerala,Jharkhand,Rajasthan,MadhyaPradesh,Maharashtra,BiharTextile&Garments,OrganizedRetail,Electronics&ITHardware,Hospitality",Ace-Skill-Development.pdf,,,,
9,Aegis-Skills-Edge.pdf,,,"Rajasthan,GujaratTamilNadu,AndhraPradesh,Karnataka,Odisha,UttarPradesh,Kerala,Jharkhand,Rajasthan,MadhyaPradesh,Maharashtra,BiharTextile&Garments,OrganizedRetail,Electronics&ITHardware,HospitalityWestBengal,Assam,Sikkim,Tripura,ArunachalPradesh,Manipur,Jharkhand,OdishaandMeghalayaMedia&Entertainment,Electronics&ITHardware,Security,OrganizedRetailKarnataka,Maharashtra",Aegis-Skills-Edge.pdf,,,,
